"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.157435530E-1,6.943184882E-2,-1.915361360E-2,9.916783333E0,9.917044888E0
6.207789910E-1,1.077390760E-1,-1.532289088E-1,9.897629738E0,9.899402065E0
6.257839120E-1,2.394201700E-3,-7.661445439E-2,9.840168953E0,9.840467495E0
6.308193500E-1,3.112462163E-2,-1.915361360E-2,9.811438560E0,9.811506624E0
6.358547870E-1,1.197100803E-2,-2.873042040E-2,9.725247383E0,9.725297189E0
6.408902260E-1,-7.182605099E-3,6.703764945E-2,9.782708168E0,9.782940495E0
6.459256640E-1,2.394201700E-3,-5.746084079E-2,9.916783333E0,9.916950093E0
6.509305850E-1,1.197100803E-2,-4.788403213E-2,9.907206535E0,9.907329485E0
6.559660220E-1,-2.633621916E-2,-1.915361360E-2,9.945513725E0,9.945567038E0
6.610014610E-1,-5.506663769E-2,-2.873042040E-2,9.821015358E0,9.821211760E0
6.660368990E-1,-3.591302410E-2,-3.830722719E-2,9.734824181E0,9.734965794E0
6.710723380E-1,-4.548983276E-2,-3.830722719E-2,9.677363396E0,9.677546128E0
6.760772570E-1,-2.633621916E-2,2.873042040E-2,9.744400978E0,9.744478922E0
6.811126960E-1,1.197100803E-2,-9.576806799E-3,9.859322548E0,9.859334467E0
6.861481340E-1,2.394201700E-3,1.915361360E-2,9.916783333E0,9.916802119E0
6.911835730E-1,-1.675941236E-2,-9.576806799E-3,9.878476143E0,9.878495002E0
6.961884920E-1,2.154781483E-2,-4.788403213E-2,9.849745750E0,9.849885712E0
7.012239310E-1,-7.182605099E-3,0.000000000E0,9.811438560E0,9.811441190E0
7.062593690E-1,-6.464344263E-2,-5.746084079E-2,9.773131371E0,9.773514072E0
7.112948070E-1,-2.633621916E-2,-8.619125932E-2,9.763554573E0,9.763970526E0
7.163302450E-1,-2.633621916E-2,-1.915361360E-2,9.868899345E0,9.868953072E0
7.213351660E-1,1.197100803E-2,-9.576806426E-2,9.849745750E0,9.850218585E0
7.263706040E-1,3.112462163E-2,-9.576806426E-2,9.888052940E0,9.888565680E0
7.314060410E-1,-1.675941236E-2,-2.873042040E-2,9.926360130E0,9.926415856E0
7.364414800E-1,-7.422025502E-2,-9.576806799E-3,9.782708168E0,9.782994402E0
7.414769180E-1,-4.548983276E-2,-9.576806799E-3,9.773131371E0,9.773241930E0
7.464818380E-1,-4.548983276E-2,0.000000000E0,9.648633003E0,9.648740237E0
7.515172760E-1,4.070143029E-2,-4.788403213E-2,9.801861763E0,9.802063227E0
7.565527150E-1,9.816227108E-2,-2.873042040E-2,9.926360130E0,9.926887060E0
7.615881530E-1,1.197100803E-2,0.000000000E0,9.935936928E0,9.935944139E0
7.665930730E-1,5.027823523E-2,-5.746084079E-2,9.945513725E0,9.945806800E0
7.716285110E-1,5.985504389E-2,-5.746084079E-2,9.830592155E0,9.830942300E0
7.766639500E-1,-2.633621916E-2,-1.915361360E-2,9.792284966E0,9.792339113E0
7.816993880E-1,-2.633621916E-2,-1.915361360E-2,9.725247383E0,9.725301904E0
7.867043080E-1,-4.548983276E-2,-8.619125932E-2,9.821015358E0,9.821498914E0
7.917397460E-1,2.394201700E-3,-3.830722719E-2,1.000297451E1,1.000304815E1
7.967751850E-1,-7.182605099E-3,-5.746084079E-2,9.897629738E0,9.897799137E0
8.018106230E-1,7.900865376E-2,-6.703764945E-2,9.897629738E0,9.898172096E0
8.068460610E-1,-3.591302410E-2,9.576806799E-3,9.811438560E0,9.811508961E0
8.118509810E-1,-5.506663769E-2,-1.053448766E-1,9.773131371E0,9.773854238E0
8.168864200E-1,-1.675941236E-2,-1.915361360E-2,9.734824181E0,9.734857450E0
8.219218570E-1,1.197100803E-2,0.000000000E0,9.763554573E0,9.763561912E0
8.269572960E-1,7.900865376E-2,-3.830722719E-2,9.840168953E0,9.840560697E0
8.319622160E-1,7.900865376E-2,-5.746084079E-2,9.964667320E0,9.965146207E0
8.369976550E-1,3.112462163E-2,-3.830722719E-2,9.888052940E0,9.888176128E0
8.420330920E-1,-5.506663769E-2,-4.788403213E-2,9.821015358E0,9.821286467E0
8.470685310E-1,-2.633621916E-2,-4.788403213E-2,9.734824181E0,9.734977571E0
8.521039690E-1,-1.675941236E-2,-7.661445439E-2,9.706093788E0,9.706410628E0
8.571088890E-1,3.112462163E-2,1.915361360E-2,9.801861763E0,9.801929893E0
8.621443270E-1,-6.464344263E-2,9.576806799E-3,9.849745750E0,9.849962530E0
8.671797660E-1,-5.506663769E-2,-7.661445439E-2,9.974244118E0,9.974690363E0
8.722152040E-1,5.027823523E-2,-8.619125932E-2,9.945513725E0,9.946014282E0
8.772506420E-1,3.112462163E-2,-6.703764945E-2,9.859322548E0,9.859599581E0
8.822555620E-1,-9.337386489E-2,-2.873042040E-2,9.763554573E0,9.764043323E0
8.872910010E-1,-5.506663769E-2,-2.873042040E-2,9.715670586E0,9.715869117E0
8.923264390E-1,2.154781483E-2,-3.830722719E-2,9.801861763E0,9.801960303E0
8.973618760E-1,-3.591302410E-2,-9.576806799E-3,9.811438560E0,9.811508961E0
9.023667970E-1,6.943184882E-2,-2.873042040E-2,9.907206535E0,9.907491486E0
9.074022360E-1,1.197100803E-2,-2.873042040E-2,9.916783333E0,9.916832176E0
9.124376740E-1,3.112462163E-2,9.576806799E-3,9.830592155E0,9.830646092E0
9.174731110E-1,-6.464344263E-2,-8.619125932E-2,9.811438560E0,9.812030082E0
9.225085500E-1,-2.633621916E-2,-4.788403213E-2,9.744400978E0,9.744554218E0
9.275134710E-1,2.394201700E-3,0.000000000E0,9.725247383E0,9.725247678E0
9.325489080E-1,1.197100803E-2,-5.746084079E-2,9.888052940E0,9.888227142E0
9.375843460E-1,3.112462163E-2,-2.873042040E-2,9.935936928E0,9.936027215E0
9.426197850E-1,2.154781483E-2,-5.746084079E-2,9.916783333E0,9.916973214E0
9.476247060E-1,-8.379705995E-2,-4.788403213E-2,9.878476143E0,9.878947603E0
9.526601430E-1,-1.675941236E-2,9.576806799E-3,9.715670586E0,9.715689760E0
9.576955810E-1,2.154781483E-2,-9.576806799E-3,9.706093788E0,9.706122431E0
9.627310200E-1,-2.633621916E-2,4.788403213E-2,9.753977776E0,9.754130865E0
9.677664580E-1,1.197100803E-2,-3.830722719E-2,9.821015358E0,9.821097363E0
9.727713780E-1,-1.675941236E-2,4.788403213E-2,9.888052940E0,9.888183084E0
9.778068160E-1,1.197100803E-2,-9.576806799E-3,9.868899345E0,9.868911253E0
9.828422550E-1,-3.591302410E-2,-4.788403213E-2,9.897629738E0,9.897810720E0
9.878776930E-1,-7.182605099E-3,-2.873042040E-2,9.792284966E0,9.792329747E0
